check,logic,IN,TD,,T,#N/A,BROKER,Ticker,EXPECTED_REPORT_DT,NAME,CLASSIFICATION_DESCRIPTION,BICS_LEVEL_3_INDUSTRY_NAME,VOLUME_AVG_6M,LAST_PRICE,HIGH,거래금액,VOLUME,volume-multiple,RT_PX_CHG_PCT_1D,CHG_PCT_5D,H,VOLATILITY_30D,PX_YEST_HIGH,PX_YEST_LOW,Qty,평가금액,CRNCY,Side,FX,TT,LOCAL1,LOCAL2,cost,RETURN,BROKER,Instruction_1,Account,Instruction,Account_1,,
,,1 ,32300,39200,32300 ,-13.1%,IN,058610 KS Equity,2023-11-10,SPG CO LTD,Electrical Components,Electrical Equipment,"2,264,904 ",37150.00 ,1 ,841 ,"2,241,532 ",1.0 ,0.41 ,22.85 ,-1.59 ,4.5 ,"40,600.00 ","32,800.00 ","5,500 ","204,325,000 ",KRW,SELL,1.0 ,32300,39200,32300,37200,-0.1%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,29300,31300,29300 ,-14.0%,IN,009520 KS Equity,2023-10-24,POSCO M-TECH CO LTD,Containers & Packaging,Containers & Packaging,"6,199,475 ",34050.00 ,1 ,"2,111 ","7,602,939 ",1.2 ,9.13 ,7.75 ,-5.15 ,6.1 ,"31,500.00 ","28,550.00 ","6,000 ","204,300,000 ",KRW,SELL,1.0 ,29300,29300,31300,34000,0.1%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,167000,176900,167000 ,-26.1%,IN,328130 KS Equity,2023-11-13,LUNIT INC,Health Care Software,Software,"745,330 ",226000.00 ,1 ,"1,684 ","1,789,645 ",2.4 ,27.11 ,31.86 ,-1.74 ,6.3 ,"181,500.00 ","169,100.00 ","1,000 ","226,000,000 ",KRW,SELL,1.0 ,167000,167000,176900,212500,6.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,21100,29600,21100 ,-28.7%,IN,067310 KS Equity,2023-11-14,HANA MICRON INC,Assembly & Testing Services,Semiconductors,"2,583,291 ",29600.00 ,0 ,765 ,"13,843,071 ",5.4 ,0.34 ,49.42 ,-6.62 ,6.0 ,"30,400.00 ","28,100.00 ","7,000 ","207,200,000 ",KRW,SELL,1.0 ,21100,29600,21100,28950,2.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4.48 ,,,,,,," 1,908,315,000 ",,,,,,,," 74,375,000 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TWSE Index,,TAIWAN TAIEX INDEX,,,"3,548,931,635 ",16753.00 ,,,#N/A N/A,,-0.22 ,0.83 ,-0.19 ,0.8 ,"16,789.69 ","16,648.51 ",,0 ,TWD,,41.5 ,#N/A,#N/A,#N/A,,,0,TWAP,,TWAP,,,
,,1 ,335,348,335 ,-4.6%,IN,3035 TT Equity,2023-10-25,FARADAY TECHNOLOGY CORP,Analog ICs,Semiconductors,"16,453,110 ",351.00 ,1 ,"2,398 ","13,774,167 ",0.8 ,1.74 ,4.62 ,-0.99 ,5.0 ,345.00 ,336.00 ,"15,000 ","218,628,599 ",TWD,SELL,41.5 ,335,335,348,347,1.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,469 ,0.1%,IN,2345 TT Equity,2023-11-10,ACCTON TECHNOLOGY CORP,Wireline Data Network Equip,Technology Hardware,"4,095,643 ",468.00 ,#N/A,803 ,"2,140,146 ",0.5 ,0.43 ,-0.32 ,-1.87 ,4.1 ,478.00 ,463.50 ,"13,000 ","252,637,492 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,398.5,17.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,37 ,-1.5%,IN,2353 TT Equity,2023-11-03,ACER INC,Personal Computers,Technology Hardware,"26,114,750 ",37.85 ,#N/A,410 ,"16,323,140 ",0.6 ,1.07 ,4.70 ,-1.56 ,2.1 ,37.50 ,36.30 ,"130,000 ","204,323,270 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,38.35,-1.3%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,201,215.5,201 ,-3.8%,IN,2368 TT Equity,2023-11-10,GOLD CIRCUIT ELECTRONICS LTD,PCBs,Technology Hardware,"14,944,560 ",209.00 ,1 ,"1,297 ","7,495,722 ",0.5 ,1.46 ,4.23 ,-0.95 ,4.2 ,207.00 ,201.00 ,"25,000 ","216,967,603 ",TWD,SELL,41.5 ,201,201,215.5,192.5,8.6%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,#N/A,#N/A,IN,2324 TT Equity,2023-11-13,COMPAL ELECTRONICS,EMS/ODM,Technology Hardware,"38,354,020 ",34.00 ,#N/A,505 ,"19,207,007 ",0.5 ,-0.47 ,-4.80 ,-2.01 ,3.1 ,31.85 ,31.40 ,"130,000 ","183,540,058 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,37.45,-9.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,128.5,134.5,129 ,-2.7%,IN,6285 TT Equity,2023-11-02,WISTRON NEWEB CORP,EMS/ODM,Technology Hardware,"13,619,990 ",132.00 ,1 ,747 ,"5,722,028 ",0.4 ,1.54 ,0.77 ,-1.12 ,2.8 ,131.00 ,128.00 ,"40,000 ","219,251,472 ",TWD,SELL,41.5 ,128.5,134.5,128.5,124,6.5%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,317 ,-3.4%,IN,6531 TT Equity,2023-10-30,AP MEMORY TECHNOLOGY CORP,Memory ICs,Semiconductors,"6,866,871 ",328.00 ,#N/A,"1,019 ","16,066,314 ",2.3 ,1.27 ,11.35 ,-5.17 ,4.4 ,353.00 ,340.00 ,"15,000 ","204,302,508 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,332.5,-1.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,156.5,161,157 ,-5.4%,IN,4979 TT Equity,2023-11-03,LUXNET CORP,App Specific Communication,Semiconductors,"16,344,600 ",165.50 ,1 ,"1,123 ","481,898 ",0.0 ,-1.49 ,3.44 ,-1.49 ,6.4 ,168.00 ,159.50 ,"30,000 ","206,171,129 ",TWD,SELL,41.5 ,156.5,156.5,161,166.5,-0.6%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,341 ,7.9%,IN,2376 TT Equity,2023-11-13,GIGABYTE TECHNOLOGY CO LTD,PCBs,Technology Hardware,"21,530,680 ",316.00 ,#N/A,"2,731 ","20,782,010 ",1.0 ,-3.32 ,-13.56 ,-4.98 ,5.1 ,329.00 ,314.00 ,"15,000 ","196,828,026 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,334,-5.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,878 ,-5.4%,IN,6643 TT Equity,2023-11-03,M31 TECHNOLOGY CORP,Intellectual Property - Semi,Semiconductors,"2,001,713 ",928.00 ,#N/A,753 ,"329,731 ",0.2 ,-0.98 ,-1.63 ,-1.20 ,3.8 ,916.00 ,892.00 ,"5,000 ","192,675,536 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,941,-1.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,2435,2580,2435 ,-2.2%,IN,3661 TT Equity,2023-11-06,ALCHIP TECHNOLOGIES LTD,Analog ICs,Semiconductors,"4,039,633 ",2490.00 ,1 ,"4,177 ","452,487 ",0.1 ,0.40 ,0.00 ,-1.39 ,4.7 ,"2,530.00 ","2,430.00 ","2,000 ","206,794,002 ",TWD,SELL,41.5 ,2435,2435,2580,2395,4.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,61.7,55 ,-10.7%,IN,2634 TT Equity,2023-11-07,AEROSPACE INDUSTRIAL DEVELOP,Defense,Aerospace & Defense,"34,251,920 ",61.00 ,1 ,855 ,"14,541,270 ",0.4 ,-1.96 ,-2.28 ,-2.12 ,2.2 ,63.10 ,61.30 ,"80,000 ","202,641,512 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,59,3.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,254 ,2.2%,IN,2382 TT Equity,2023-11-13,QUANTA COMPUTER INC,EMS/ODM,Technology Hardware,"56,510,720 ",248.50 ,#N/A,"5,667 ","17,082,383 ",0.3 ,-1.83 ,-1.23 ,-1.83 ,5.5 ,246.00 ,238.00 ,"18,000 ","185,740,878 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,272.5,-8.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,182,186,182 ,-2.2%,IN,3037 TT Equity,2023-10-25,UNIMICRON TECHNOLOGY CORP,PCBs,Technology Hardware,"28,379,470 ",186.00 ,0 ,"2,192 ","6,526,116 ",0.2 ,0.54 ,0.82 ,-0.27 ,2.8 ,185.00 ,181.00 ,"27,000 ","208,538,048 ",TWD,SELL,41.5 ,182,182,186,180.5,3.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,333 ,2.3%,IN,3017 TT Equity,2023-11-13,ASIA VITAL COMPONENTS,Keyboards & Mice,Technology Hardware,"15,824,790 ",325.50 ,#N/A,"2,149 ","4,046,524 ",0.3 ,-0.46 ,-2.39 ,-1.65 ,4.5 ,332.00 ,325.00 ,"13,000 ","175,712,614 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,379.5,-14.2%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,#N/A,#N/A,#N/A,#N/A,IN,2449 TT Equity,2023-11-08,KING YUAN ELECTRONICS CO LTD,Semiconductor Mfg,Semiconductors,"16,469,160 ",79.10 ,,533 ,"11,116,855 ",0.7 ,0.00 ,3.60 ,-0.64 ,3.5 ,77.90 ,75.30 ,"56,000 ","183,938,697 ",TWD,SELL,41.5 ,#N/A,#N/A,#N/A,82.2,-3.8%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,116.5,120,117 ,0.4%,IN,3711 TT Equity,2023-10-27,ASE TECHNOLOGY HOLDING CO LT,Assembly & Testing Services,Semiconductors,"16,418,920 ",116.00 ,1 ,805 ,"6,058,311 ",0.4 ,0.00 ,0.00 ,0.00 ,1.8 ,118.50 ,116.00 ,"40,000 ","192,675,536 ",TWD,SELL,41.5 ,116.5,120,116.5,117.5,-1.3%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,289.5,314,290 ,0.5%,IN,1519 TT Equity,2023-11-09,FORTUNE ELECTRIC CO LTD,Electronic Coil,Electrical Equipment,"16,335,270 ",288.00 ,1 ,"1,947 ","6,240,031 ",0.4 ,-4.33 ,-0.35 ,-4.17 ,5.3 ,311.00 ,294.50 ,"15,000 ","179,387,568 ",TWD,SELL,41.5 ,289.5,314,289.5,311,-7.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,485,508,485 ,-4.2%,IN,2327 TT Equity,2023-11-10,YAGEO CORPORATION,Passive Components,Technology Hardware,"2,593,474 ",506.00 ,1 ,545 ,"1,802,162 ",0.7 ,1.71 ,5.64 ,-0.20 ,1.5 ,507.00 ,497.00 ,"10,000 ","210,115,994 ",TWD,SELL,41.5 ,485,508,485,501,1.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,278.5,288.5,279 ,-12.8%,IN,3324 TT Equity,2023-11-06,AURAS TECHNOLOGY CO LTD,Personal Computers,Technology Hardware,"7,461,099 ",319.50 ,1 ,990 ,"10,184,685 ",1.4 ,4.41 ,12.11 ,-0.78 ,4.5 ,306.00 ,287.00 ,"17,000 ","225,542,494 ",TWD,SELL,41.5 ,278.5,278.5,288.5,298.5,7.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,83.4,87.8,83 ,-1.7%,IN,2201 TT Equity,2023-11-13,YULON MOTOR COMPANY,Automobiles,Automotive,"14,074,160 ",84.80 ,1 ,496 ,"11,818,822 ",0.8 ,-1.05 ,6.27 ,-1.97 ,2.3 ,88.70 ,85.10 ,"60,000 ","211,278,691 ",TWD,SELL,41.5 ,83.4,87.8,83.4,87.4,-3.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,485,508,485 ,-4.2%,IN,2327 TT Equity,2023-11-10,YAGEO CORPORATION,Passive Components,Technology Hardware,"2,593,474 ",506.00 ,1 ,545 ,"1,802,162 ",0.7 ,1.71 ,5.64 ,-0.20 ,1.5 ,507.00 ,497.00 ,"10,000 ","210,115,994 ",TWD,SELL,41.5 ,485,508,485,504,0.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,   ,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,1.13 ,,,,,,," 2,133,404,025 ",,,,,,,," (8,018,458)",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.0%,,,,,,,,,,,,,5.4,,,,,,," 9,727,280,558 ",,,,0,0,0,," 258,742,078 ",,,,  , ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,065350 KS Equity,2023-11-14,SHINSUNG DELTA TECH CO LTD,Household Appliances,Home & Office Products,"2,986,642 ",55500.00 ,,"1,658 ","5,930,420 ",2.0 ,12.92 ,1.47 ,-5.77 ,16.0 ,"51,000.00 ","46,600.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,047310 KS Equity,2023-11-13,POWER LOGICS CO LTD,Communication Equip Cmpnts,Technology Hardware,"4,034,423 ",10200.00 ,,412 ,"13,641,827 ",3.4 ,13.97 ,3.37 ,-6.34 ,17.8 ,"9,290.00 ","8,870.00 ",,,KRW,,1.0 ,,,,HANG,0,,,,,,,
,,,,,,,,403870 KS Equity,2023-11-14,HPSP CO LTD,Semiconductor Devices,Semiconductors,"2,132,292 ",35500.00 ,,757 ,"4,786,708 ",2.2 ,-2.47 ,11.62 ,-10.01 ,4.1 ,"37,600.00 ","34,950.00 ",,,KRW,,1.0 ,,,,WPBS,0,,,,,,,
,,,,,,,,024880 KS Equity,2023-11-13,KOREA PARTS & FASTENERS CO L,Bolts & Washers,Industrial Intermediate Prod,"598,400 ",5740.00 ,,34 ,"242,078 ",0.4 ,-0.69 ,5.33 ,-1.37 ,3.2 ,"5,950.00 ","5,520.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,065440 KS Equity,2023-11-13,ELUON CORP,Computer & Software Whslrs,Wholesale - Discretionary,"862,127 ",2300.00 ,,20 ,"3,124,575 ",3.6 ,9.00 ,4.36 ,-2.54 ,2.7 ,"2,150.00 ","2,110.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,012340 KS Equity,2023-11-14,NUINTEK CO LTD,Passive Components,Technology Hardware,"607,621 ",1380.00 ,,8 ,"268,900 ",0.4 ,-1.78 ,-15.70 ,-3.16 ,4.4 ,"1,476.00 ","1,403.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,259960 KS Equity,2023-11-10,KRAFTON INC,Mobile & Online Games,Entertainment Content,"130,958 ",155600.00 ,,204 ,"37,315 ",0.3 ,-0.70 ,-0.32 ,-1.52 ,2.2 ,"156,800.00 ","154,800.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,087260 KS Equity,2023-11-14,MOBILE APPLIANCE INC,Auto Electrical & Electronics,Automotive,"661,753 ",2910.00 ,,19 ,"1,074,438 ",1.6 ,-4.12 ,17.14 ,-3.80 ,5.7 ,"3,035.00 ","2,815.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,005380 KS Equity,2024-01-26,HYUNDAI MOTOR CO,Automobiles,Automotive,"598,604 ",185900.00 ,,"1,113 ","183,495 ",0.3 ,-0.75 ,-0.43 ,-0.54 ,1.1 ,"187,400.00 ","185,600.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,,,,,,,215600 KS Equity,2023-11-14,SILLAJEN INC,Contract Research,Health Care Facilities & Svcs,"1,058,538 ",4940.00 ,,52 ,"181,125 ",0.2 ,-0.40 ,-2.56 ,-1.98 ,2.8 ,"5,110.00 ","4,940.00 ",,,KRW,,1.0 ,,,,,,,,,,,,
,,1 ,13400,13910,13400 ,-3.9%,IN,034220 KS Equity,2023-10-26,LG DISPLAY CO LTD,Display Panels,Technology Hardware,"1,544,043 ",13940.00 ,1 ,215 ,"566,955 ",0.4 ,0.29 ,1.90 ,-0.71 ,1.9 ,"14,050.00 ","13,600.00 ",1 ,"13,940 ",KRW,SELL,1.0 ,13400,13910,13400,13280,5.0%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,297000,300000,297000 ,-1.2%,IN,097950 KS Equity,2023-11-14,CJ CHEILJEDANG CORP,Packaged Food,Food,"41,746 ",300500.00 ,1 ,125 ,"7,260 ",0.2 ,-0.83 ,-0.66 ,-1.15 ,2.2 ,"303,000.00 ","296,500.00 ",1 ,"300,500 ",KRW,SELL,1.0 ,297000,297000,300000,311000,-3.4%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,1 ,17820,18130,17820 ,-0.4%,IN,015760 KS Equity,2023-11-13,KOREA ELECTRIC POWER CORP,Integrated Electric Utilities,Electric Utilities,"1,292,166 ",17900.00 ,1 ,231 ,"245,019 ",0.2 ,-0.33 ,-0.89 ,-0.28 ,1.0 ,"17,960.00 ","17,750.00 ",1 ,"17,900 ",KRW,SELL,1.0 ,17820,17820,18130,18390,-2.7%,IN,VOL_10%,NHMS05 (MS_VKR),VOL_10%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
